Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
FUNC_POP,instances/scqbf/n400p2.txt,-12017.86,410195,246,NO_IMPROVEMENT
FUNC_POP,instances/scqbf/n400p3.txt,-10954.10,1374497,559,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p1.txt,-141.62,106,128,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p2.txt,-184.68,147,138,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n25p3.txt,-166.06,154,131,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p1.txt,-359.07,486,204,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p2.txt,-670.46,880,226,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n50p3.txt,-675.33,607,150,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p1.txt,-1636.73,2600,306,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p2.txt,-1574.99,3552,253,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n100p3.txt,-1560.85,4268,293,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p1.txt,-3009.60,15763,597,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p2.txt,-4796.12,36580,700,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n200p3.txt,-4227.72,71493,1000,MAX_GENERATIONS
FUNC_MUT,instances/scqbf/n400p1.txt,-12629.59,68049,686,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n400p2.txt,-14528.49,170036,768,NO_IMPROVEMENT
FUNC_MUT,instances/scqbf/n400p3.txt,-12828.42,309580,1000,MAX_GENERATIONS
STANDARD_EVOL1,instances/scqbf/n25p1.txt,-141.62,237,218,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n25p2.txt,-184.68,184,162,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n25p3.txt,-166.06,135,112,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n50p1.txt,-342.50,620,208,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n50p2.txt,-665.65,486,125,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n50p3.txt,-675.33,515,131,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n100p1.txt,-1660.37,4929,614,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n100p2.txt,-1570.63,2632,189,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n100p3.txt,-1530.19,3369,226,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n200p1.txt,-617.28,1144,128,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n200p2.txt,-4667.19,23947,458,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n200p3.txt,-4156.91,40741,552,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n400p1.txt,-3054.70,4589,280,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n400p2.txt,-12369.25,79385,370,NO_IMPROVEMENT
STANDARD_EVOL1,instances/scqbf/n400p3.txt,-10892.19,87327,283,NO_IMPROVEMENT
