instance,result,time,is_optimal
instance_n100_sd02_0.json,24.0,0.6807293891906738,True
instance_n100_sd04_0.json,41.0,1.439068078994751,True
instance_n100_sd06_0.json,64.0,2.0063211917877197,True
instance_n100_sd08_0.json,89.0,2.661508083343506,True
instance_n100_sd10_0.json,114.0,3.5888442993164062,True
instance_n200_sd02_0.json,23.0,11.099094867706299,True
instance_n200_sd04_0.json,46.0,22.507997751235962,True
instance_n200_sd06_0.json,69.0,37.40173530578613,True
instance_n200_sd08_0.json,91.0,50.54849028587341,True
instance_n200_sd10_0.json,114.0,62.12177848815918,True
instance_n300_sd02_0.json,20.0,68.29956102371216,True
instance_n300_sd04_0.json,40.0,153.45599055290222,True
instance_n300_sd06_0.json,73.0,232.8445703983307,True
instance_n300_sd08_0.json,90.0,313.95530009269714,True
instance_n300_sd10_0.json,113.0,416.36911606788635,True
instance_n400_sd02_0.json,21.0,412.7403612136841,True
instance_n400_sd04_0.json,48.0,769.5022251605988,True
instance_n400_sd06_0.json,65.0,1149.8826088905334,True
instance_n400_sd08_0.json,92.0,1502.8159973621368,True
instance_n400_sd10_0.json,117.0,1564.457712173462,True
instance_n500_sd02_0.json,22.0,1163.7743384838104,True
instance_n500_sd04_0.json,45.0,2641.6988430023193,True
instance_n500_sd06_0.json,67.0,3699.9600219726562,True
instance_n500_sd08_0.json,88.0,4774.395452260971,True
