Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n300_sd10_0,TTT3,494,110,110,730,263
instance_n300_sd10_0,TTT3,903,110,110,183,0
instance_n300_sd10_0,TTT3,543,110,108,161,0
instance_n300_sd10_0,TTT3,543,110,109,1160,512
instance_n300_sd10_0,TTT3,543,110,110,1163,513
instance_n300_sd10_0,TTT3,547,110,108,222,0
instance_n300_sd10_0,TTT3,547,110,109,861,342
instance_n300_sd10_0,TTT3,547,110,110,864,343
instance_n300_sd10_0,TTT3,180,110,109,160,0
instance_n300_sd10_0,TTT3,180,110,110,880,342
instance_n300_sd10_0,TTT2,825,110,107,178,0
instance_n300_sd10_0,TTT2,825,110,108,694,270
instance_n300_sd10_0,TTT2,825,110,109,697,271
instance_n300_sd10_0,TTT2,825,110,111,19308,20000
instance_n300_sd10_0,TTT3,857,110,108,160,0
instance_n300_sd10_0,TTT3,857,110,109,677,262
instance_n300_sd10_0,TTT3,857,110,110,680,263
instance_n300_sd10_0,TTT3,366,110,110,161,0
instance_n300_sd10_0,TTT3,377,110,110,190,0
instance_n300_sd10_0,TTT3,94,110,107,171,0
instance_n300_sd10_0,TTT3,94,110,108,1182,468
instance_n300_sd10_0,TTT3,94,110,109,1186,469
instance_n300_sd10_0,TTT3,94,110,110,18649,20000
instance_n300_sd10_0,TTT3,232,110,107,162,0
instance_n300_sd10_0,TTT3,232,110,108,702,258
instance_n300_sd10_0,TTT3,232,110,109,705,259
instance_n300_sd10_0,TTT3,232,110,110,18768,20000
instance_n300_sd10_0,TTT3,745,110,108,169,0
instance_n300_sd10_0,TTT3,745,110,109,652,258
instance_n300_sd10_0,TTT3,745,110,110,655,259
instance_n300_sd10_0,TTT3,450,110,112,176,0
instance_n300_sd10_0,TTT3,575,110,106,171,0
instance_n300_sd10_0,TTT3,575,110,107,687,258
instance_n300_sd10_0,TTT3,575,110,108,690,259
instance_n300_sd10_0,TTT3,575,110,110,19008,20000
instance_n300_sd10_0,TTT3,569,110,110,175,0
instance_n300_sd10_0,TTT3,8,110,108,180,0
instance_n300_sd10_0,TTT3,8,110,109,759,258
instance_n300_sd10_0,TTT3,8,110,110,762,259
instance_n300_sd10_0,TTT3,624,110,105,164,0
instance_n300_sd10_0,TTT3,624,110,106,3077,1510
instance_n300_sd10_0,TTT3,624,110,107,3080,1511
instance_n300_sd10_0,TTT3,624,110,110,19107,20000
instance_n300_sd10_0,TTT3,967,110,106,183,0
instance_n300_sd10_0,TTT3,967,110,107,766,276
instance_n300_sd10_0,TTT3,967,110,108,769,277
instance_n300_sd10_0,TTT3,967,110,110,19005,20000
instance_n300_sd10_0,TTT3,116,110,108,170,0
instance_n300_sd10_0,TTT3,116,110,109,723,258
instance_n300_sd10_0,TTT3,116,110,110,726,259
instance_n300_sd10_0,TTT3,621,110,108,235,0
instance_n300_sd10_0,TTT3,621,110,109,767,258
instance_n300_sd10_0,TTT3,621,110,110,770,259
instance_n300_sd10_0,TTT3,234,110,110,178,0
instance_n300_sd10_0,TTT3,151,110,105,169,0
instance_n300_sd10_0,TTT3,151,110,106,924,344
instance_n300_sd10_0,TTT3,151,110,107,927,345
instance_n300_sd10_0,TTT3,151,110,110,19567,20000
instance_n300_sd10_0,TTT3,833,110,107,157,0
instance_n300_sd10_0,TTT3,833,110,108,589,204
instance_n300_sd10_0,TTT3,833,110,109,994,407
instance_n300_sd10_0,TTT3,833,110,110,18833,20000
instance_n300_sd10_0,TTT3,19,110,109,183,0
instance_n300_sd10_0,TTT3,19,110,110,843,268
instance_n300_sd10_0,TTT3,271,110,109,179,0
instance_n300_sd10_0,TTT3,271,110,110,2393,1128
instance_n300_sd10_0,TTT3,705,110,108,160,0
instance_n300_sd10_0,TTT3,705,110,109,1124,544
instance_n300_sd10_0,TTT3,705,110,110,1127,545
instance_n300_sd10_0,TTT3,295,110,110,159,0
instance_n300_sd10_0,TTT3,856,110,109,184,0
instance_n300_sd10_0,TTT3,856,110,110,637,258
instance_n300_sd10_0,TTT3,864,110,108,165,0
instance_n300_sd10_0,TTT3,864,110,109,501,184
instance_n300_sd10_0,TTT3,864,110,110,504,185
instance_n300_sd10_0,TTT3,203,110,107,226,0
instance_n300_sd10_0,TTT3,203,110,108,772,258
instance_n300_sd10_0,TTT3,203,110,109,775,259
instance_n300_sd10_0,TTT3,203,110,110,18971,20000
instance_n300_sd10_0,TTT3,490,110,108,227,0
instance_n300_sd10_0,TTT3,490,110,110,19861,20000
instance_n300_sd10_0,TTT3,76,110,107,220,0
instance_n300_sd10_0,TTT3,76,110,108,747,258
instance_n300_sd10_0,TTT3,76,110,109,750,259
instance_n300_sd10_0,TTT3,76,110,110,19867,20000
instance_n300_sd10_0,TTT3,96,110,105,157,0
instance_n300_sd10_0,TTT3,96,110,106,1116,466
instance_n300_sd10_0,TTT3,96,110,107,1119,467
instance_n300_sd10_0,TTT3,96,110,110,19601,20000
instance_n300_sd10_0,TTT3,436,110,108,203,0
instance_n300_sd10_0,TTT3,436,110,109,537,176
instance_n300_sd10_0,TTT3,436,110,110,539,177
instance_n300_sd10_0,TTT3,699,110,107,239,0
instance_n300_sd10_0,TTT3,699,110,108,699,258
instance_n300_sd10_0,TTT3,699,110,109,702,259
instance_n300_sd10_0,TTT3,699,110,111,19441,20000
instance_n300_sd10_0,TTT3,362,110,109,182,0
instance_n300_sd10_0,TTT3,362,110,110,867,276
instance_n300_sd10_0,TTT3,863,110,110,177,0
instance_n300_sd10_0,TTT3,528,110,107,216,0
instance_n300_sd10_0,TTT3,528,110,108,558,178
instance_n300_sd10_0,TTT3,528,110,109,742,267
instance_n300_sd10_0,TTT3,528,110,110,20020,20000
instance_n300_sd10_0,TTT3,550,110,107,165,0
instance_n300_sd10_0,TTT3,550,110,108,789,276
instance_n300_sd10_0,TTT3,550,110,110,19230,20000
instance_n300_sd10_0,TTT3,291,110,107,164,0
instance_n300_sd10_0,TTT3,291,110,108,676,280
instance_n300_sd10_0,TTT3,291,110,109,679,281
instance_n300_sd10_0,TTT3,291,110,110,19410,20000
instance_n300_sd10_0,TTT3,892,110,108,181,0
instance_n300_sd10_0,TTT3,892,110,109,1294,568
instance_n300_sd10_0,TTT3,892,110,110,1298,569
instance_n300_sd10_0,TTT3,16,110,106,210,0
instance_n300_sd10_0,TTT3,16,110,107,1500,610
instance_n300_sd10_0,TTT3,16,110,108,1503,611
instance_n300_sd10_0,TTT3,16,110,110,19587,20000
instance_n300_sd10_0,TTT3,288,110,109,196,0
instance_n300_sd10_0,TTT3,288,110,110,19877,20000
instance_n300_sd10_0,TTT3,511,110,105,162,0
instance_n300_sd10_0,TTT3,511,110,106,750,276
instance_n300_sd10_0,TTT3,511,110,107,753,277
instance_n300_sd10_0,TTT3,511,110,110,19721,20000
instance_n300_sd10_0,TTT4,823,110,110,163,0
instance_n300_sd10_0,TTT4,97,110,110,160,0
instance_n300_sd10_0,TTT4,842,110,108,181,0
instance_n300_sd10_0,TTT4,842,110,109,643,222
instance_n300_sd10_0,TTT4,842,110,110,1476,569
instance_n300_sd10_0,TTT3,28,110,106,158,0
instance_n300_sd10_0,TTT3,28,110,107,1065,382
instance_n300_sd10_0,TTT3,28,110,108,1069,383
instance_n300_sd10_0,TTT3,28,110,110,21887,20000
instance_n300_sd10_0,TTT3,679,110,107,163,0
instance_n300_sd10_0,TTT3,679,110,108,1192,568
instance_n300_sd10_0,TTT3,679,110,109,1196,569
instance_n300_sd10_0,TTT3,679,110,110,19318,20000
instance_n300_sd10_0,TTT3,95,110,107,157,0
instance_n300_sd10_0,TTT3,95,110,108,706,276
instance_n300_sd10_0,TTT3,95,110,110,19296,20000
instance_n300_sd10_0,TTT4,157,110,112,199,0
instance_n300_sd10_0,TTT4,307,110,111,163,0
instance_n300_sd10_0,TTT4,357,110,110,162,0
instance_n300_sd10_0,TTT3,590,110,108,167,0
instance_n300_sd10_0,TTT3,590,110,110,21121,20000
instance_n300_sd10_0,TTT4,849,110,108,161,0
instance_n300_sd10_0,TTT4,849,110,109,1427,512
instance_n300_sd10_0,TTT4,849,110,110,1430,513
instance_n300_sd10_0,TTT4,349,110,109,163,0
instance_n300_sd10_0,TTT4,349,110,110,760,276
instance_n300_sd10_0,TTT4,283,110,108,192,0
instance_n300_sd10_0,TTT4,283,110,109,704,276
instance_n300_sd10_0,TTT4,283,110,110,1343,623
instance_n300_sd10_0,TTT3,463,110,105,163,0
instance_n300_sd10_0,TTT3,463,110,106,1155,512
instance_n300_sd10_0,TTT3,463,110,107,1158,513
instance_n300_sd10_0,TTT3,463,110,110,20203,20000
instance_n300_sd10_0,TTT4,994,110,109,318,0
instance_n300_sd10_0,TTT4,994,110,110,19457,20000
instance_n300_sd10_0,TTT4,746,110,108,164,0
instance_n300_sd10_0,TTT4,746,110,109,649,258
instance_n300_sd10_0,TTT4,746,110,110,652,259
instance_n300_sd10_0,TTT4,888,110,108,226,0
instance_n300_sd10_0,TTT4,888,110,109,801,258
instance_n300_sd10_0,TTT4,888,110,110,804,259
instance_n300_sd10_0,TTT4,275,110,107,201,0
instance_n300_sd10_0,TTT4,275,110,108,698,258
instance_n300_sd10_0,TTT4,275,110,109,701,259
instance_n300_sd10_0,TTT4,275,110,110,19139,20000
instance_n300_sd10_0,TTT4,701,110,108,169,0
instance_n300_sd10_0,TTT4,701,110,110,19689,20000
instance_n300_sd10_0,TTT4,64,110,107,182,0
instance_n300_sd10_0,TTT4,64,110,110,19450,20000
instance_n300_sd10_0,TTT4,156,110,107,162,0
instance_n300_sd10_0,TTT4,156,110,108,539,184
instance_n300_sd10_0,TTT4,156,110,109,542,185
instance_n300_sd10_0,TTT4,156,110,111,19219,20000
instance_n300_sd10_0,TTT4,742,110,110,200,0
instance_n300_sd10_0,TTT4,696,110,109,184,0
instance_n300_sd10_0,TTT4,696,110,110,831,278
instance_n300_sd10_0,TTT4,957,110,107,194,0
instance_n300_sd10_0,TTT4,957,110,110,19861,20000
instance_n300_sd10_0,TTT4,770,110,109,164,0
instance_n300_sd10_0,TTT4,770,110,110,760,276
instance_n300_sd10_0,TTT4,229,110,109,201,0
instance_n300_sd10_0,TTT4,229,110,110,741,258
instance_n300_sd10_0,TTT4,695,110,110,159,0
instance_n300_sd10_0,TTT4,46,110,105,164,0
instance_n300_sd10_0,TTT4,46,110,110,21666,20000
instance_n300_sd10_0,TTT4,891,110,107,163,0
instance_n300_sd10_0,TTT4,891,110,108,673,276
instance_n300_sd10_0,TTT4,891,110,109,676,277
instance_n300_sd10_0,TTT4,891,110,110,19492,20000
instance_n300_sd10_0,TTT4,935,110,106,177,0
instance_n300_sd10_0,TTT4,935,110,107,1263,566
instance_n300_sd10_0,TTT4,935,110,110,20164,20000
instance_n300_sd10_0,TTT4,777,110,107,169,0
instance_n300_sd10_0,TTT4,777,110,108,728,258
instance_n300_sd10_0,TTT4,777,110,109,734,259
instance_n300_sd10_0,TTT4,777,110,110,19958,20000
instance_n300_sd10_0,TTT4,308,110,109,178,0
